num_1,pdf_1,omschrijving_1,test_kolom_1,num_2,pdf_2,omschrijving_2,test_kolom_2,num_3,pdf_3,omschrijving_3,test_kolom_3
.,stans.pdf,Rol_001 | 350504067240000013 - 350504067240003007 |  300 etiketten,,.,stans.pdf,Rol_002 | 350504067240003014 - 350504067240006008 |  300 etiketten,,.,stans.pdf,Rol_003 | 350504067240006015 - 350504067240009009 |  300 etiketten,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
350504067240000013,leeg.pdf,,3 5050406 724000001 3,350504067240003014,leeg.pdf,,3 5050406 724000301 4,350504067240006015,leeg.pdf,,3 5050406 724000601 5
350504067240000020,leeg.pdf,,3 5050406 724000002 0,350504067240003021,leeg.pdf,,3 5050406 724000302 1,350504067240006022,leeg.pdf,,3 5050406 724000602 2
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,Rol_001 | 350504067240000013 - 350504067240003007 |  300 etiketten,,.,stans.pdf,Rol_002 | 350504067240003014 - 350504067240006008 |  300 etiketten,,.,stans.pdf,Rol_003 | 350504067240006015 - 350504067240009009 |  300 etiketten,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
.,stans.pdf,,,.,stans.pdf,,,.,stans.pdf,,
350504067240000013,leeg.pdf,,3 5050406 724000001 3,350504067240003014,leeg.pdf,,3 5050406 724000301 4,350504067240006015,leeg.pdf,,3 5050406 724000601 5
350504067240000020,leeg.pdf,,3 5050406 724000002 0,350504067240003021,leeg.pdf,,3 5050406 724000302 1,350504067240006022,leeg.pdf,,3 5050406 724000602 2
350504067240000037,leeg.pdf,,3 5050406 724000003 7,350504067240003038,leeg.pdf,,3 5050406 724000303 8,350504067240006039,leeg.pdf,,3 5050406 724000603 9
350504067240000044,leeg.pdf,,3 5050406 724000004 4,350504067240003045,leeg.pdf,,3 5050406 724000304 5,350504067240006046,leeg.pdf,,3 5050406 724000604 6
350504067240000051,leeg.pdf,,3 5050406 724000005 1,350504067240003052,leeg.pdf,,3 5050406 724000305 2,350504067240006053,leeg.pdf,,3 5050406 724000605 3
350504067240000068,leeg.pdf,,3 5050406 724000006 8,350504067240003069,leeg.pdf,,3 5050406 724000306 9,350504067240006060,leeg.pdf,,3 5050406 724000606 0
350504067240000075,leeg.pdf,,3 5050406 724000007 5,350504067240003076,leeg.pdf,,3 5050406 724000307 6,350504067240006077,leeg.pdf,,3 5050406 724000607 7
350504067240000082,leeg.pdf,,3 5050406 724000008 2,350504067240003083,leeg.pdf,,3 5050406 724000308 3,350504067240006084,leeg.pdf,,3 5050406 724000608 4
350504067240000099,leeg.pdf,,3 5050406 724000009 9,350504067240003090,leeg.pdf,,3 5050406 724000309 0,350504067240006091,leeg.pdf,,3 5050406 724000609 1
350504067240000105,leeg.pdf,,3 5050406 724000010 5,350504067240003106,leeg.pdf,,3 5050406 724000310 6,350504067240006107,leeg.pdf,,3 5050406 724000610 7
350504067240000112,leeg.pdf,,3 5050406 724000011 2,350504067240003113,leeg.pdf,,3 5050406 724000311 3,350504067240006114,leeg.pdf,,3 5050406 724000611 4
350504067240000129,leeg.pdf,,3 5050406 724000012 9,350504067240003120,leeg.pdf,,3 5050406 724000312 0,350504067240006121,leeg.pdf,,3 5050406 724000612 1
350504067240000136,leeg.pdf,,3 5050406 724000013 6,350504067240003137,leeg.pdf,,3 5050406 724000313 7,350504067240006138,leeg.pdf,,3 5050406 724000613 8
350504067240000143,leeg.pdf,,3 5050406 724000014 3,350504067240003144,leeg.pdf,,3 5050406 724000314 4,350504067240006145,leeg.pdf,,3 5050406 724000614 5
