;;;item;bib;begin;eind;agpdf
30003000277300;Bib Harelbeke;wit.pdf;191;Bib Harelbeke;30003000277300;30003000285299;wit.pdf
30003000285299;Bib Harelbeke;wit.pdf;;;;;
30003000285300;Bib Menen;wit.pdf;192;Bib Menen;30003000285300;30003000293299;wit.pdf
30003000293299;Bib Menen;wit.pdf;;;;;
30003000293300;Bib Waregem;wit.pdf;196;Bib Waregem;30003000293300;30003000308299;wit.pdf
30003000308299;Bib Waregem;wit.pdf;;;;;
30003000334300;Bib Waregem;geel.pdf;190;Bib Waregem;30003000334300;30003000336299;geel.pdf
30003000336299;Bib Waregem;geel.pdf;;;;;
30003000308300;Bib Wervik;wit.pdf;193;Bib Wervik;30003000308300;30003000312299;wit.pdf
30003000312299;Bib Wervik;wit.pdf;;;;;
30003000312300;Bib Wevelgem;wit.pdf;194;Bib Wevelgem;30003000312300;30003000324299;wit.pdf
30003000324299;Bib Wevelgem;wit.pdf;;;;;
30003000324300;Bib Zwevegem;wit.pdf;195;Bib Zwevegem;30003000324300;30003000334299;wit.pdf
30003000334299;Bib Zwevegem;wit.pdf;;;;;
